ID,Sample,negativity,neutrality,positivity,compound,polarity,subjectivity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,Verdadero,Misinformation,Desinformación,ProGob,ContraGob,NoVerificable,MisDisInformation,Propaganda
357,A,0,0.654,0.346,0.7506,0.7,0.6,0,0.090909091,0,0,0.090909091,0,0.272727273,0,0.090909091,0.181818182,1,0,0,0,0,0,0,0
358,A,0.058,0.671,0.271,0.8591,0.39375,0.41875,0.0625,0.125,0,0.0625,0,0.125,0.25,0,0,0.0625,0,1,0,0,0,0,1,0
359,A,0,0.864,0.136,0.5106,0,0.1,0,0,0,0,0,0,0.142857143,0,0,0,1,0,0,0,0,0,0,0
360,A,0,0.765,0.235,0.8565,0.5,0.5,0.05,0.05,0,0.05,0,0.1,0,0.05,0.05,0,0,0,0,0,1,0,0,1
361,A,0.297,0.703,0,-0.8519,0.1,1,0.071428571,0,0.071428571,0.071428571,0,0.071428571,0,0.142857143,0,0,1,0,0,0,0,0,0,0
362,A,0,1,0,0,0.5,0.625,0,0,0,0,0,0.045454545,0,0,0,0.045454545,1,0,0,0,0,0,0,0
363,A,0,1,0,0,0.25,0.25,0,0.142857143,0,0,0,0.142857143,0.142857143,0,0,0.285714286,1,0,0,0,0,0,0,0
364,A,0.236,0.764,0,-0.5719,0.1,0.45,0,0,0,0,0,0.142857143,0,0.142857143,0,0,1,0,0,0,0,0,0,0
365,A,0.144,0.769,0.087,-0.34,0.075757576,0.615151515,0,0,0,0.052631579,0,0.105263158,0.052631579,0.105263158,0,0.052631579,1,0,0,0,0,0,0,0
368,A,0,0.881,0.119,0.4767,0,0,0,0.083333333,0,0,0,0,0.25,0,0,0,1,0,0,0,0,0,0,0
369,A,0.18,0.652,0.168,0.0971,-0.041666667,0.279166667,0.052631579,0,0,0.105263158,0,0.157894737,0.052631579,0.105263158,0,0,0,0,0,0,0,1,0,0
370,A,0,0.883,0.117,0.5423,0.333333333,0.333333333,0,0.055555556,0,0,0,0,0.111111111,0,0,0,0,0,0,1,0,0,0,1
371,A,0.14,0.732,0.128,-0.3612,0,0,0,0,0,0.045454545,0,0.045454545,0.045454545,0.045454545,0,0,0,0,0,0,0,1,0,0
